id,PostURL,Title,TitleKeyword,Tags,Description,PublicationDate,Location,Latitude,Longitude
1549335342,https://www.adzuna.com/land/ad/1549335342?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=B4EFA78CF416B570A4453DBD2C44A87C643CF0A4,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"...  for good. <strong>Data</strong> <strong>Engineer</strong> Do you want to work for a tech company that writes its own code, develops its own software, and builds its own products? We experiment and innovate leveraging ...",2020-05-19T22:16:25Z,"['US', 'Illinois', 'Cook County', 'Chicago', 'Illinois Medical District']",41.868494,-87.673975
1540746038,https://www.adzuna.com/land/ad/1540746038?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=513FE7192E600E19150585147811F011D512BF27,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"<strong>Data</strong> <strong>Engineer</strong> Seattle WA 6 Months <strong>Data</strong> <strong>Engineer</strong>  Development of ETL <strong>data</strong> pipelines, from ingestion of data to consumption by business intelligence and advanced analytics teams ...  technical backlog to answer those needs in a timely manner.  Work with team to identify and resolve technical debt to improve the team's throughput. Skills:  2 - 6 years software and <strong>data</strong> ...",2020-05-09T09:44:30Z,"['US', 'Washington', 'King County', 'Seattle']",47.608492,-122.336407
1537091904,https://www.adzuna.com/land/ad/1537091904?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=6DE6CDD2E6B8EE4FAC9D4791B848D688AEB537B5,<strong>Data</strong> <strong>Engineer</strong> / Lead <strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong> / Lead <strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Menlo Park, CA <strong>Data</strong> <strong>Engineer</strong> 6 Positon Rate Open for RIGHT Candidate 10 years of experience Experience in Advance SQL, Python, Tableau or any BI tool Should be well versed ...",2020-05-05T14:31:29Z,"['US', 'California', 'San Mateo County', 'Menlo Park']",37.448491,-122.180281
1533100037,https://www.adzuna.com/land/ad/1533100037?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=23628A09689E2BD1265C0B330E8889D356BA7DEE,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Role <strong>Data</strong> <strong>Engineer</strong> Location Wilmington, DE Skillset Language PythonScalaJava Python is required Pyspark is a big one to have Spark or Scala required Analytics of data Analysing ...  for a savvy <strong>Data</strong> <strong>Engineer</strong> to join our growing team to build a modernized Data Ecosystem. The hire will be responsible for expanding and optimizing our data and data pipeline architecture ...",2020-04-30T17:27:52Z,"['US', 'Delaware', 'New Castle County', 'Wilmington']",39.73126,-75.545138
1550148404,https://www.adzuna.com/land/ad/1550148404?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=05F093B5BBA24085766EBE01B8AC066DE1B4EA29,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Role FullStack <strong>Data</strong> <strong>Engineer</strong> Location NYC, NY Boston, MA Duration Fulltime Positions 5 Salary 130KYear (Mid-Level)  Benefits 180KYear (Senior)  Benefits Key Responsibilities ...  Be the technical lead engineer on a team of <strong>data</strong> <strong>engineers</strong> responsible for <strong>data</strong> aggregation, transformation, modeling and delivery for both client usage and internal data science teams Full-stack ...",2020-05-20T15:30:36Z,"['US', 'New York']",42.522869,-75.574677
1544935967,https://www.adzuna.com/land/ad/1544935967?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=F2F438E331EE5F2029A7B9B331D0149B6F8EB077,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Important <strong>Data</strong> <strong>Engineer</strong> with Scala background as well as Kafka. JOB DESCRIPTION As a software engineer on the Lineage team you will help deliver key features through our agile ...  scales. Technologies used include Scala, Akka, AWS (Lambda, Neptune, DynamoDB), Kafka, Jenkins, Terraform Role <strong>Data</strong> <strong>Engineer</strong>- 2 openings Duration 8 months  extension Location San ...",2020-05-14T15:37:30Z,"['US', 'California', 'San Francisco']",37.798085,-122.466538
1550124138,https://www.adzuna.com/land/ad/1550124138?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=F9032DFA855E78FC254649635160B39FEC3E207E,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Hi, Please find the below requirements. You can respond back with an updated resume to praveenrajpvkc.com Title <strong>Data</strong> <strong>Engineer</strong> (Azure <strong>Data</strong> <strong>Engineer</strong> )Location Redmond, WAClient ...  Microsoft Note We are looking for a <strong>Data</strong> <strong>Engineer</strong> with Azure functions, azure pipelines design, ADF, ADLS and problem solving using C or python Responsibilities bull Build and maintain ETL ...",2020-05-20T15:16:35Z,"['US', 'Washington', 'King County', 'Redmond']",47.670119,-122.118237
1521288337,https://www.adzuna.com/land/ad/1521288337?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=3850D5181972D3577432AB845ACE7A684586D6DB,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,Description We are seeking a highly talented <strong>Data</strong> <strong>Engineer</strong> (DE) within the <strong>Data</strong> <strong>Engineering</strong> group. We need your help to build systems to enable data-driven decision-making. Our ...  <strong>Data</strong> <strong>Engineering</strong> team owns and develops the technology platform that offers decision makers both performance metrics and analysis as well as the self-service capability to perform ...,2020-04-14T22:54:56Z,"['US', 'New Jersey', 'Essex County', 'Newark']",40.735075,-74.173906
1544828627,https://www.adzuna.com/land/ad/1544828627?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=07DF6CE34E594CB33A8C8562F713CCF3E8724ED0,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Job Title <strong>Data</strong> <strong>Engineer</strong> Location Portland, OR Duration 6-12 Months Primary Skill MS SQL Other Mandatory Skills SQL Server, No-SQL databases, SQL Python Project Description ...  of outputs Good knowledge of <strong>Data</strong> <strong>Engineering</strong>, Big <strong>Data</strong> Analytics, Excellent analytical and problem-solving skills A knack for independent and group work Scrupulous approach to duties ...",2020-05-14T12:27:59Z,"['US', 'Oregon', 'Multnomah County', 'Portland']",45.505603,-122.688215
1548134006,https://www.adzuna.com/land/ad/1548134006?se=YF5I0Rad6hGC4kvz3rM_Tg&utm_medium=api&utm_source=da871bdc&v=BBC80B31C07108D6E31CCBE4E4B93CFC6BDF3849,<strong>Data</strong> <strong>Engineer</strong>,<strong>Data</strong> <strong>Engineer</strong>,it-jobs,"Top Skills Details 1) 4 years of <strong>data</strong> <strong>engineer</strong> experience with large <strong>data</strong> lake platforms, ideally google or hadoop. 2) Familiarity with cloud, specifically GCP. 3) Experience ...  and composure experience- how to break queries outmdashSaves time, performance and money. Description We are looking for intermediate to senior. Typically about 4 years of <strong>data</strong> <strong>engineering</strong> ...",2020-05-18T21:22:34Z,"['US', 'Texas', 'Austin County']",29.918447,-96.258873
